iter	Passed	Remaining
0	45	44970
1	67	33755
2	92	30627
3	116	28939
4	139	27690
5	163	27013
6	186	26514
7	209	26034
8	233	25763
9	258	25616
10	282	25420
11	306	25208
12	332	25234
13	355	25010
14	379	24890
15	403	24829
16	427	24724
17	449	24526
18	473	24441
19	498	24449
20	522	24379
21	547	24317
22	574	24415
23	598	24329
24	618	24108
25	644	24137
26	670	24158
27	695	24135
28	717	24034
29	742	24002
30	764	23910
31	792	23965
32	815	23886
33	839	23857
34	864	23848
35	891	23877
36	914	23810
37	941	23839
38	967	23844
39	986	23670
40	1009	23603
41	1029	23479
42	1053	23441
43	1078	23425
44	1105	23465
45	1130	23437
46	1154	23413
47	1178	23367
48	1203	23362
49	1227	23316
50	1248	23237
51	1275	23259
52	1300	23228
53	1322	23164
54	1345	23117
55	1369	23092
56	1393	23046
57	1420	23072
58	1445	23047
59	1470	23040
60	1494	23006
61	1520	23007
62	1543	22962
63	1571	22980
64	1595	22945
65	1619	22920
66	1641	22864
67	1668	22861
68	1690	22815
69	1713	22768
70	1738	22753
71	1761	22709
72	1787	22699
73	1810	22657
74	1834	22623
75	1859	22601
76	1884	22588
77	1909	22571
78	1932	22533
79	1957	22509
80	1981	22487
81	2006	22460
82	2034	22482
83	2058	22442
84	2082	22417
85	2107	22395
86	2128	22337
87	2152	22307
88	2175	22271
89	2202	22271
90	2224	22216
91	2250	22207
92	2273	22173
93	2299	22160
94	2321	22116
95	2347	22103
96	2371	22076
97	2397	22062
98	2419	22023
99	2441	21971
100	2465	21945
101	2488	21908
102	2515	21903
103	2538	21869
104	2574	21942
105	2596	21902
106	2620	21866
107	2643	21835
108	2667	21807
109	2689	21758
110	2712	21723
111	2735	21688
112	2758	21653
113	2782	21626
114	2811	21633
115	2834	21598
116	2853	21532
117	2872	21473
118	2896	21445
119	2919	21411
120	2943	21384
121	2970	21380
122	2995	21354
123	3017	21319
124	3042	21295
125	3066	21271
126	3091	21251
127	3117	21238
128	3143	21223
129	3166	21194
130	3191	21171
131	3214	21138
132	3236	21098
133	3260	21069
134	3285	21052
135	3310	21034
136	3332	20989
137	3355	20959
138	3378	20927
139	3400	20890
140	3427	20882
141	3450	20850
142	3475	20826
143	3497	20788
144	3523	20775
145	3545	20739
146	3569	20714
147	3595	20696
148	3621	20681
149	3644	20654
150	3668	20628
151	3693	20608
152	3718	20584
153	3745	20574
154	3771	20558
155	3795	20534
156	3818	20504
157	3842	20474
158	3866	20449
159	3892	20433
160	3917	20412
161	3943	20398
162	3968	20378
163	3992	20352
164	4016	20327
165	4040	20300
166	4065	20277
167	4091	20262
168	4114	20232
169	4138	20205
170	4162	20180
171	4188	20162
172	4214	20145
173	4237	20114
174	4261	20087
175	4284	20058
176	4306	20025
177	4329	19995
178	4355	19978
179	4380	19953
180	4404	19930
181	4428	19905
182	4452	19877
183	4474	19844
184	4499	19823
185	4525	19804
186	4547	19769
187	4571	19746
188	4594	19715
189	4619	19693
190	4643	19666
191	4670	19653
192	4693	19623
193	4718	19602
194	4742	19576
195	4766	19552
196	4788	19518
197	4811	19489
198	4836	19466
199	4859	19436
200	4882	19410
201	4906	19384
202	4931	19360
203	4953	19330
204	4982	19322
205	5004	19289
206	5027	19258
207	5051	19234
208	5075	19210
209	5098	19180
210	5120	19148
211	5143	19118
212	5166	19089
213	5188	19057
214	5213	19033
215	5237	19008
216	5259	18976
217	5284	18954
218	5311	18940
219	5334	18911
220	5358	18886
221	5379	18851
222	5402	18823
223	5425	18794
224	5451	18777
225	5476	18755
226	5501	18732
227	5524	18706
228	5547	18677
229	5571	18651
230	5595	18628
231	5621	18608
232	5644	18581
233	5668	18554
234	5692	18530
235	5715	18502
236	5735	18465
237	5762	18449
238	5785	18420
239	5809	18398
240	5831	18366
241	5853	18334
242	5879	18314
243	5906	18299
244	5931	18277
245	5953	18247
246	5978	18225
247	6002	18200
248	6027	18179
249	6050	18151
250	6078	18137
251	6101	18110
252	6127	18090
253	6151	18065
254	6176	18044
255	6198	18015
256	6227	18003
257	6250	17977
258	6275	17954
259	6298	17926
260	6322	17900
261	6345	17875
262	6371	17854
263	6398	17837
264	6421	17810
265	6443	17780
266	6466	17752
267	6490	17728
268	6513	17700
269	6539	17681
270	6565	17660
271	6589	17636
272	6613	17611
273	6635	17582
274	6658	17554
275	6683	17531
276	6709	17511
277	6732	17486
278	6758	17464
279	6780	17436
280	6804	17410
281	6827	17384
282	6853	17363
283	6877	17338
284	6901	17314
285	6925	17288
286	6947	17259
287	6971	17234
288	6994	17207
289	7020	17188
290	7044	17163
291	7069	17140
292	7093	17115
293	7118	17093
294	7141	17067
295	7166	17045
296	7189	17016
297	7210	16984
298	7234	16961
299	7257	16933
300	7278	16902
301	7302	16877
302	7325	16849
303	7348	16824
304	7371	16797
305	7395	16773
306	7420	16749
307	7443	16724
308	7470	16706
309	7494	16682
310	7518	16656
311	7541	16630
312	7566	16606
313	7589	16580
314	7616	16563
315	7640	16538
316	7666	16517
317	7689	16491
318	7714	16468
319	7738	16445
320	7763	16420
321	7787	16397
322	7812	16374
323	7835	16347
324	7858	16321
325	7882	16296
326	7904	16268
327	7929	16246
328	7952	16219
329	7976	16195
330	8000	16170
331	8023	16143
332	8047	16119
333	8069	16091
334	8097	16074
335	8120	16048
336	8144	16023
337	8166	15995
338	8191	15971
339	8215	15948
340	8243	15930
341	8266	15904
342	8290	15880
343	8315	15857
344	8337	15829
345	8361	15805
346	8386	15781
347	8411	15759
348	8434	15733
349	8457	15707
350	8482	15684
351	8506	15659
352	8530	15634
353	8556	15615
354	8580	15590
355	8605	15567
356	8628	15541
357	8651	15515
358	8673	15486
359	8696	15460
360	8721	15438
361	8746	15415
362	8771	15391
363	8793	15364
364	8815	15336
365	8838	15311
366	8865	15291
367	8890	15269
368	8913	15242
369	8936	15215
370	8961	15192
371	8985	15168
372	9012	15149
373	9036	15124
374	9060	15101
375	9084	15075
376	9109	15053
377	9132	15026
378	9154	14999
379	9178	14975
380	9201	14949
381	9224	14923
382	9249	14900
383	9274	14877
384	9299	14854
385	9321	14827
386	9346	14804
387	9370	14780
388	9394	14756
389	9418	14731
390	9442	14707
391	9466	14683
392	9492	14661
393	9515	14635
394	9541	14613
395	9565	14589
396	9589	14565
397	9613	14541
398	9641	14522
399	9663	14494
400	9687	14471
401	9711	14446
402	9735	14422
403	9758	14396
404	9781	14371
405	9808	14350
406	9831	14324
407	9856	14302
408	9879	14275
409	9903	14250
410	9927	14226
411	9955	14208
412	9979	14184
413	10004	14160
414	10028	14136
415	10052	14111
416	10076	14087
417	10103	14067
418	10126	14041
419	10151	14018
420	10174	13993
421	10199	13969
422	10222	13944
423	10246	13919
424	10271	13896
425	10294	13870
426	10319	13847
427	10342	13822
428	10368	13799
429	10392	13775
430	10419	13755
431	10441	13728
432	10467	13706
433	10489	13680
434	10513	13655
435	10536	13629
436	10558	13603
437	10586	13583
438	10610	13559
439	10634	13535
440	10658	13510
441	10682	13486
442	10706	13461
443	10732	13439
444	10755	13413
445	10779	13389
446	10802	13364
447	10826	13339
448	10850	13315
449	10873	13289
450	10899	13267
451	10921	13241
452	10946	13217
453	10971	13194
454	10995	13170
455	11019	13145
456	11045	13123
457	11069	13099
458	11094	13076
459	11118	13052
460	11141	13026
461	11165	13002
462	11193	12982
463	11217	12957
464	11241	12934
465	11267	12911
466	11294	12890
467	11319	12867
468	11349	12849
469	11373	12825
470	11396	12800
471	11420	12775
472	11445	12752
473	11470	12728
474	11494	12704
475	11520	12682
476	11545	12659
477	11569	12634
478	11592	12609
479	11616	12584
480	11639	12559
481	11662	12533
482	11685	12508
483	11711	12485
484	11733	12459
485	11758	12435
486	11781	12410
487	11804	12384
488	11830	12362
489	11852	12336
490	11877	12312
491	11900	12287
492	11925	12264
493	11949	12240
494	11975	12217
495	11998	12192
496	12024	12169
497	12047	12144
498	12071	12120
499	12093	12093
500	12117	12069
501	12141	12044
502	12164	12019
503	12187	11994
504	12210	11968
505	12234	11944
506	12258	11920
507	12284	11898
508	12307	11872
509	12333	11849
510	12356	11824
511	12380	11800
512	12403	11775
513	12429	11751
514	12453	11728
515	12477	11703
516	12500	11678
517	12524	11653
518	12547	11628
519	12571	11604
520	12597	11581
521	12621	11557
522	12645	11532
523	12669	11508
524	12691	11482
525	12714	11457
526	12740	11435
527	12764	11410
528	12788	11386
529	12811	11361
530	12835	11336
531	12857	11310
532	12882	11286
533	12908	11264
534	12931	11239
535	12957	11216
536	12981	11192
537	13005	11167
538	13030	11144
539	13057	11122
540	13082	11099
541	13107	11076
542	13131	11051
543	13150	11023
544	13173	10998
545	13199	10975
546	13221	10949
547	13243	10923
548	13268	10899
549	13291	10875
550	13316	10851
551	13340	10827
552	13369	10806
553	13392	10781
554	13417	10758
555	13441	10733
556	13466	10710
557	13487	10683
558	13509	10657
559	13534	10634
560	13557	10609
561	13581	10584
562	13605	10560
563	13631	10537
564	13656	10514
565	13682	10491
566	13706	10467
567	13731	10443
568	13755	10419
569	13779	10394
570	13802	10370
571	13831	10349
572	13856	10325
573	13880	10301
574	13903	10276
575	13928	10252
576	13951	10227
577	13976	10204
578	14002	10181
579	14026	10156
580	14048	10131
581	14070	10105
582	14095	10081
583	14117	10056
584	14144	10034
585	14169	10010
586	14194	9987
587	14219	9962
588	14242	9938
589	14265	9913
590	14292	9890
591	14316	9866
592	14341	9843
593	14364	9818
594	14388	9793
595	14410	9768
596	14432	9742
597	14458	9719
598	14481	9694
599	14505	9670
600	14530	9646
601	14552	9621
602	14577	9597
603	14605	9575
604	14627	9550
605	14649	9524
606	14674	9500
607	14697	9475
608	14721	9451
609	14745	9427
610	14771	9404
611	14794	9379
612	14817	9354
613	14841	9330
614	14865	9306
615	14889	9281
616	14911	9256
617	14936	9232
618	14962	9209
619	14983	9183
620	15007	9159
621	15031	9135
622	15060	9113
623	15088	9091
624	15111	9067
625	15135	9042
626	15159	9018
627	15182	8993
628	15208	8970
629	15236	8948
630	15259	8923
631	15281	8898
632	15305	8873
633	15327	8848
634	15352	8824
635	15374	8799
636	15399	8775
637	15422	8750
638	15447	8726
639	15471	8702
640	15495	8678
641	15518	8653
642	15547	8632
